,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Pilichnus,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0
Gyrochorte,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,0.0,3.0,8.0
Rhizocorallium,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,0.0,3.0,14.0
Dimorphichnus,0.0,0.0,0.0,4.0,2.0,2.0,27.0,7.0,0.0,5.0,11.0
Phycodes,3.0,0.0,1.0,1.0,3.0,8.0,76.0,43.0,3.0,0.0,52.0
Archaeonassa,0.0,0.0,0.0,1.0,2.0,2.0,17.0,2.0,0.0,5.0,14.0
Rosselia,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,0.0,0.0,15.0
Lorenzinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Lophoctenium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Brooksella,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0
Spongeliomorpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Glockerichnus,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0
Rusophycus,6.0,5.0,0.0,19.0,28.0,19.0,143.0,58.0,0.0,2.0,81.0
Spirorhaphe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Syringomorpha,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,2.0,8.0
Spirophyton,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Astropolichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Trichichnus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Protopaleodictyon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Arenicolites,0.0,0.0,0.0,13.0,10.0,8.0,41.0,1.0,0.0,0.0,12.0
Helminthopsis,6.0,0.0,10.0,0.0,5.0,0.0,44.0,12.0,4.0,6.0,8.0
Skolithos,5.0,0.0,1.0,30.0,16.0,15.0,160.0,35.0,0.0,0.0,58.0
Treptichnus,11.0,4.0,0.0,2.0,8.0,16.0,116.0,75.0,2.0,5.0,97.0
Torrowangea,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplocraterion,3.0,0.0,0.0,3.0,17.0,17.0,38.0,6.0,0.0,0.0,50.0
Dictyodora,0.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,0.0,2.0,0.0
Cylindrichnus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0
Climactichnites,3.0,0.0,0.0,0.0,14.0,0.0,35.0,0.0,0.0,4.0,4.0
Dactylophycus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Planolites,1.0,1.0,3.0,13.0,15.0,9.0,104.0,36.0,3.0,4.0,106.0
Curvolithus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Halopoa,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Zoophycos,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0
Neonereites,2.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,5.0,8.0
Chondrites,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,1.0,5.0
Trichophycus,3.0,0.0,0.0,13.0,2.0,0.0,28.0,8.0,0.0,0.0,10.0
Gyrophyllites,0.0,0.0,0.0,1.0,6.0,0.0,14.0,2.0,0.0,0.0,1.0
Psammichnites,0.0,0.0,0.0,0.0,6.0,0.0,23.0,7.0,2.0,2.0,33.0
Taenidium,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Monocraterion,0.0,0.0,0.0,2.0,9.0,0.0,12.0,1.0,0.0,0.0,2.0
Gyrolithes,7.0,0.0,0.0,1.0,8.0,14.0,45.0,12.0,0.0,0.0,13.0
Multina,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0
Protovirgularia,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0
Nereites,3.0,0.0,0.0,1.0,0.0,3.0,31.0,14.0,1.0,5.0,14.0
Beaconites,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Palaeophycus,0.0,0.0,3.0,1.0,3.0,8.0,43.0,10.0,2.0,5.0,86.0
Streptichnus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Paleodictyon,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0
Bergaueria,0.0,0.0,3.0,4.0,5.0,8.0,44.0,8.0,0.0,0.0,18.0
Conostichus,0.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0
Asterosoma,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Aglaspidichnus,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Polarichnus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Macaronichnus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Arthrophycus,0.0,0.0,0.0,1.0,3.0,0.0,12.0,3.0,0.0,0.0,1.0
Entradichnus,0.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Thalassinoides,4.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,47.0
Diplichnites,0.0,0.0,0.0,1.0,6.0,2.0,35.0,11.0,0.0,5.0,11.0
Biformites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Cladichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Didymaulichnus,0.0,0.0,3.0,0.0,3.0,1.0,15.0,1.0,0.0,7.0,5.0
Lockeia,0.0,0.0,0.0,0.0,5.0,0.0,9.0,2.0,0.0,0.0,0.0
Scoyenia,0.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Dolopichnus,0.0,0.0,0.0,0.0,0.0,6.0,24.0,6.0,0.0,0.0,10.0
Cruziana,4.0,5.0,0.0,18.0,28.0,18.0,136.0,44.0,0.0,0.0,55.0
Teichichnus,0.0,0.0,0.0,1.0,5.0,6.0,16.0,1.0,2.0,0.0,13.0
Margaritichnus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Lingulichnus,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,21.0
Arenituba,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Cochlichnus,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,5.0,5.0
Conichnus,0.0,0.0,0.0,3.0,0.0,6.0,25.0,6.0,0.0,0.0,10.0
Oldhamia,5.0,0.0,10.0,25.0,5.0,0.0,52.0,25.0,17.0,7.0,56.0
