,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Isopodichnus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siphonichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
Pentichnus,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0
Rhizocorallium,6.0,0.0,4.0,12.0,6.0,5.0,35.0,1.0,1.0,0.0,19.0
Camborygma,0.0,3.0,6.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,3.0,8.0,5.0
Archaeonassa,0.0,0.0,1.0,2.0,2.0,6.0,5.0,1.0,0.0,0.0,0.0
Rosselia,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Pramollichnus,0.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0
Laevicyclus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
Lophoctenium,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0
Cosmorhaphe,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0
Rusophycus,1.0,0.0,5.0,50.0,6.0,0.0,13.0,0.0,1.0,0.0,2.0
Spirorhaphe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Scolicia,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0
Spirophyton,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0
Megagrapton,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0
Ptychoplasma,1.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
Protopaleodictyon,0.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0
Arenicolites,0.0,0.0,0.0,4.0,2.0,7.0,9.0,0.0,1.0,0.0,2.0
Helminthopsis,7.0,0.0,2.0,1.0,10.0,2.0,18.0,2.0,3.0,8.0,9.0
Pennatulites,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0
Skolithos,0.0,3.0,10.0,20.0,28.0,16.0,75.0,17.0,1.0,0.0,20.0
Treptichnus,9.0,0.0,3.0,3.0,12.0,7.0,24.0,0.0,2.0,0.0,5.0
Vagorichnus,0.0,3.0,6.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Diplocraterion,0.0,0.0,4.0,9.0,0.0,4.0,21.0,1.0,0.0,0.0,12.0
Dictyodora,0.0,0.0,0.0,2.0,2.0,4.0,6.0,1.0,1.0,7.0,0.0
Hartsellea,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
Parataenidium,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0
Cylindrichnus,0.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0
Phycosiphon,0.0,0.0,0.0,0.0,2.0,0.0,8.0,4.0,0.0,6.0,4.0
Paleomeandron,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0
Planolites,7.0,3.0,9.0,66.0,14.0,13.0,64.0,6.0,2.0,8.0,22.0
Curvolithus,0.0,0.0,0.0,1.0,2.0,10.0,9.0,3.0,0.0,0.0,0.0
Halopoa,6.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,6.0,3.0
Zoophycos,5.0,0.0,4.0,12.0,5.0,13.0,44.0,3.0,4.0,9.0,45.0
Neonereites,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,2.0
Chondrites,1.0,0.0,6.0,12.0,7.0,9.0,44.0,4.0,3.0,8.0,33.0
Psammichnites,1.0,0.0,0.0,2.0,3.0,11.0,12.0,1.0,1.0,0.0,1.0
Ophiomorpha,0.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,12.0
Taenidium,0.0,0.0,2.0,50.0,2.0,8.0,21.0,1.0,0.0,6.0,2.0
Monocraterion,0.0,0.0,4.0,10.0,3.0,0.0,21.0,0.0,0.0,0.0,10.0
Multina,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0
Scalarituba,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
Protovirgularia,1.0,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,1.0
Nereites,0.0,0.0,0.0,3.0,8.0,13.0,17.0,7.0,3.0,9.0,6.0
Beaconites,0.0,0.0,0.0,2.0,4.0,6.0,10.0,1.0,0.0,0.0,1.0
Palaeophycus,7.0,0.0,5.0,2.0,6.0,8.0,23.0,2.0,2.0,2.0,13.0
Schaubcylindrichnus,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0
Paleodictyon,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0
Bergaueria,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0
Hormosiroidea,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Conostichus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
Asterosoma,0.0,0.0,4.0,12.0,5.0,2.0,31.0,5.0,0.0,0.0,14.0
