,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Siphonichnus,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0
Pilichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Gyrochorte,0.0,0.0,0.0,0.0,0.0,1.0,24.0,5.0,1.0,0.0,8.0
Rhizocorallium,8.0,0.0,5.0,23.0,27.0,25.0,106.0,23.0,0.0,9.0,120.0
Halimedides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0
Camborygma,0.0,3.0,6.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Rebuffoichnus,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Fontanai,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,3.0,5.0,3.0,0.0,37.0,2.0,3.0,3.0,14.0
Rutichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
Fictovichnus,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Skolichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Rosselia,2.0,0.0,3.0,7.0,21.0,11.0,102.0,14.0,0.0,0.0,12.0
Bichordites,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Laevicyclus,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,3.0,1.0,1.0
Strobilorhaphe,0.0,0.0,0.0,8.0,0.0,16.0,17.0,0.0,3.0,1.0,0.0
Lophoctenium,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0
Spongeliomorpha,0.0,1.0,1.0,1.0,0.0,3.0,10.0,3.0,0.0,7.0,20.0
Jamesonichnites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
