,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Siphonichnus,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0
Gyrochorte,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Mammillichnis,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Rhizocorallium,3.0,0.0,1.0,4.0,2.0,0.0,62.0,5.0,0.0,0.0,38.0
Camborygma,0.0,3.0,6.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Phycodes,3.0,0.0,0.0,0.0,2.0,5.0,56.0,6.0,4.0,8.0,28.0
Rosselia,0.0,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,8.0
Laevicyclus,0.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,4.0,0.0
Lophoctenium,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0
Brooksella,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Spongeliomorpha,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0
Cosmorhaphe,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0
Rusophycus,0.0,0.0,5.0,8.0,13.0,2.0,61.0,6.0,0.0,0.0,21.0
Altichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Heimdallia,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Scolicia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Parahaentzschelinia,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0
Spirophyton,0.0,0.0,0.0,1.0,5.0,1.0,8.0,1.0,0.0,0.0,9.0
Megagrapton,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,4.0,7.0
Trichichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Protopaleodictyon,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,4.0,4.0
Arenicolites,0.0,0.0,0.0,5.0,6.0,0.0,70.0,11.0,0.0,0.0,19.0
Helminthopsis,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,4.0,8.0,8.0
Skolithos,2.0,4.0,14.0,27.0,28.0,10.0,144.0,28.0,1.0,0.0,37.0
Piscichnus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifungites,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Naktodemasis,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vagorichnus,0.0,3.0,6.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Diplocraterion,0.0,0.0,6.0,10.0,20.0,0.0,77.0,6.0,0.0,0.0,22.0
Dictyodora,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,7.0,0.0
Balanoglossites,0.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,0.0,0.0,11.0
Cylindrichnus,0.0,0.0,0.0,6.0,4.0,4.0,53.0,9.0,0.0,0.0,12.0
Osculichnus,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Phycosiphon,3.0,0.0,0.0,0.0,2.0,1.0,11.0,4.0,0.0,4.0,7.0
Furnasichnus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Planolites,5.0,3.0,11.0,13.0,20.0,8.0,95.0,14.0,9.0,8.0,91.0
Halopoa,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0
Zoophycos,4.0,1.0,2.0,12.0,8.0,13.0,141.0,20.0,7.0,11.0,69.0
Neonereites,0.0,0.0,0.0,0.0,0.0,7.0,13.0,3.0,7.0,4.0,4.0
Chondrites,0.0,0.0,1.0,5.0,7.0,6.0,79.0,11.0,4.0,8.0,25.0
Didymaulyponomos,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Psammichnites,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ophiomorpha,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
Taenidium,2.0,0.0,2.0,5.0,0.0,1.0,14.0,1.0,0.0,4.0,1.0
Monocraterion,0.0,0.0,1.0,4.0,6.0,0.0,12.0,2.0,0.0,0.0,10.0
Gyrolithes,0.0,0.0,0.0,4.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0
Multina,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,24.0
Scalarituba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Protovirgularia,0.0,0.0,0.0,2.0,6.0,1.0,8.0,2.0,0.0,0.0,8.0
Dendrotichnium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alcyonidiopsis,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Nereites,0.0,0.0,0.0,0.0,2.0,11.0,13.0,6.0,7.0,11.0,7.0
Beaconites,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Palaeophycus,5.0,0.0,5.0,5.0,19.0,6.0,81.0,12.0,4.0,4.0,41.0
Paleodictyon,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,5.0,4.0
Bergaueria,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hormosiroidea,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Asterosoma,0.0,0.0,1.0,2.0,1.0,0.0,8.0,2.0,0.0,0.0,2.0
Chagrinichnites,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0
Polarichnus,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Arthrophycus,2.0,0.0,0.0,4.0,6.0,0.0,8.0,0.0,0.0,0.0,6.0
Entradichnus,0.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Thalassinoides,3.0,0.0,5.0,6.0,5.0,6.0,63.0,9.0,9.0,8.0,76.0
Psilonichnus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
Hillichnus,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0
Phymatoderma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Diplichnites,0.0,3.0,6.0,19.0,6.0,4.0,26.0,4.0,2.0,2.0,8.0
Daedalus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
Didymaulichnus,2.0,0.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0
Lockeia,0.0,0.0,5.0,5.0,19.0,1.0,19.0,2.0,0.0,0.0,12.0
Scoyenia,0.0,6.0,9.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0
Dolopichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cruziana,5.0,1.0,5.0,38.0,27.0,8.0,103.0,38.0,0.0,5.0,77.0
Ilmenichnus,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Teichichnus,0.0,0.0,5.0,9.0,23.0,7.0,27.0,10.0,5.0,0.0,39.0
Scalichnus,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0
Margaritichnus,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Arenituba,0.0,0.0,5.0,0.0,10.0,0.0,7.0,0.0,0.0,4.0,5.0
Cochlichnus,0.0,0.0,5.0,0.0,10.0,1.0,5.0,0.0,0.0,0.0,6.0
Oldhamia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
