,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Steinichnus,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Siphonichnus,0.0,0.0,0.0,1.0,4.0,6.0,9.0,6.0,1.0,0.0,3.0
Pilichnus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0
Gyrochorte,0.0,0.0,0.0,1.0,4.0,1.0,48.0,16.0,1.0,0.0,56.0
Rhizocorallium,1.0,0.0,0.0,14.0,15.0,8.0,63.0,29.0,1.0,1.0,99.0
Camborygma,0.0,3.0,6.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Rebuffoichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,0.0,3.0,0.0,35.0,13.0,0.0,0.0,37.0
Rutichnus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0
Fictovichnus,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rosselia,0.0,0.0,0.0,1.0,6.0,12.0,29.0,22.0,0.0,0.0,8.0
Laevicyclus,0.0,0.0,0.0,0.0,3.0,0.0,9.0,7.0,0.0,0.0,6.0
Lophoctenium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Spongeliomorpha,0.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0
Jamesonichnites,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,3.0
Cosmorhaphe,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Rusophycus,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirorhaphe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Loloichnus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Scolicia,0.0,3.0,1.0,4.0,3.0,3.0,13.0,6.0,4.0,4.0,28.0
Parahaentzschelinia,0.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0
Spirophyton,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0
Megagrapton,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0
Ptychoplasma,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Trichichnus,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0
Termitichnus,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Coprinisphaera,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arenicolites,0.0,3.0,7.0,5.0,3.0,5.0,47.0,10.0,0.0,0.0,49.0
Helminthopsis,0.0,0.0,0.0,0.0,2.0,2.0,12.0,2.0,0.0,0.0,14.0
Tasselia,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Dactyloidites,0.0,0.0,0.0,1.0,3.0,6.0,9.0,3.0,1.0,0.0,14.0
Skolithos,2.0,11.0,16.0,18.0,9.0,19.0,183.0,34.0,1.0,0.0,79.0
Treptichnus,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Helicodromites,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0
Macanopsis,0.0,6.0,2.0,12.0,5.0,5.0,7.0,5.0,0.0,0.0,17.0
