,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Siphonichnus,3.0,0.0,0.0,0.0,8.0,2.0,11.0,0.0,0.0,0.0,4.0
Rhizocorallium,0.0,0.0,1.0,1.0,8.0,0.0,13.0,0.0,0.0,1.0,8.0
Halimedides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Rebuffoichnus,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saronichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0
Fictovichnus,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katbergia,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Rosselia,0.0,0.0,3.0,4.0,6.0,7.0,55.0,5.0,0.0,0.0,33.0
Bichordites,0.0,0.0,5.0,5.0,0.0,2.0,31.0,2.0,0.0,0.0,24.0
Lorenzinia,0.0,0.0,6.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0
Laevicyclus,0.0,0.0,5.0,5.0,0.0,0.0,8.0,1.0,0.0,0.0,15.0
Spongeliomorpha,0.0,0.0,1.0,3.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0
Cosmorhaphe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
Rusophycus,1.0,2.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Spirorhaphe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0
Scolicia,0.0,0.0,10.0,26.0,12.0,8.0,96.0,11.0,13.0,3.0,34.0
Cardioichnus,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,6.0
Trichichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Protopaleodictyon,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Coprinisphaera,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Arenicolites,4.0,0.0,9.0,16.0,12.0,11.0,77.0,5.0,0.0,0.0,28.0
Helminthopsis,1.0,0.0,8.0,9.0,1.0,0.0,12.0,1.0,0.0,0.0,16.0
Tasselia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dactyloidites,0.0,0.0,0.0,1.0,0.0,3.0,21.0,1.0,0.0,0.0,6.0
Skolithos,6.0,10.0,3.0,42.0,54.0,24.0,189.0,8.0,3.0,3.0,64.0
Desmograpton,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,2.0,1.0,15.0
Spirophycus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Treptichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lanicoidichna,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Piscichnus,0.0,1.0,3.0,0.0,3.0,0.0,43.0,11.0,0.0,0.0,6.0
Helicodromites,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0
Macanopsis,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Daimonelix,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Naktodemasis,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haentzschelinia,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Vagorichnus,1.0,0.0,4.0,0.0,1.0,0.0,7.0,2.0,1.0,1.0,1.0
Diplocraterion,0.0,0.0,0.0,1.0,6.0,2.0,17.0,1.0,9.0,2.0,7.0
Balanoglossites,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0
Cylindrichnus,3.0,0.0,0.0,8.0,24.0,2.0,32.0,2.0,0.0,0.0,29.0
Phycosiphon,0.0,0.0,6.0,12.0,8.0,17.0,39.0,5.0,2.0,2.0,24.0
Attaichnus,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polychoredrites,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Planolites,9.0,6.0,8.0,27.0,37.0,18.0,101.0,14.0,6.0,4.0,49.0
Halopoa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0
Zoophycos,12.0,0.0,1.0,17.0,0.0,6.0,52.0,18.0,13.0,15.0,15.0
Neonereites,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chondrites,2.0,0.0,8.0,22.0,12.0,12.0,57.0,14.0,3.0,13.0,31.0
Bathichnus,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0
Gyrophyllites,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0
Parowanichnus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ophiomorpha,5.0,6.0,11.0,39.0,49.0,23.0,251.0,30.0,10.0,1.0,123.0
Taenidium,6.0,11.0,3.0,16.0,16.0,3.0,91.0,12.0,4.0,0.0,29.0
Gyrolithes,0.0,6.0,0.0,9.0,24.0,1.0,62.0,8.0,3.0,3.0,7.0
Daimoniobarax,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Kladosystemites,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Multina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Teisseirei,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Protovirgularia,0.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,2.0
Alcyonidiopsis,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
Nereites,0.0,0.0,7.0,6.0,2.0,4.0,11.0,2.0,9.0,3.0,18.0
Beaconites,0.0,0.0,0.0,3.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0
Palaeophycus,7.0,10.0,16.0,21.0,28.0,15.0,99.0,13.0,4.0,1.0,44.0
Schaubcylindrichnus,0.0,0.0,0.0,8.0,0.0,7.0,20.0,7.0,0.0,0.0,4.0
Paleodictyon,0.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,8.0,1.0,16.0
Paradictyodora,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Phoebichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Asterosoma,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,4.0
Macaronichnus,0.0,0.0,0.0,0.0,2.0,6.0,73.0,7.0,0.0,0.0,19.0
Katarrhedrites,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Thalassinoides,9.0,0.0,11.0,38.0,22.0,23.0,236.0,38.0,9.0,7.0,97.0
Psilonichnus,3.0,0.0,0.0,8.0,17.0,4.0,37.0,2.0,0.0,0.0,0.0
Phymatoderma,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,3.0,6.0,4.0
Helminthorhaphe,0.0,0.0,6.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0
Arachnostega,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0
Spirodesmos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Didymaulichnus,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Lockeia,0.0,12.0,12.0,5.0,5.0,0.0,18.0,1.0,0.0,0.0,0.0
Scoyenia,0.0,1.0,5.0,13.0,9.0,4.0,22.0,0.0,0.0,0.0,3.0
Cruziana,3.0,0.0,0.0,24.0,25.0,14.0,133.0,14.0,3.0,4.0,22.0
Labyrintichnus,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinusichnus,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
Teichichnus,0.0,0.0,0.0,16.0,28.0,18.0,60.0,8.0,2.0,3.0,19.0
Scalichnus,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,0.0
Conichnus,0.0,0.0,0.0,0.0,0.0,2.0,28.0,1.0,0.0,0.0,36.0
Oldhamia,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
Polykladichnus,0.0,0.0,5.0,5.0,0.0,0.0,8.0,1.0,0.0,0.0,15.0
