,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Gyrochorte,0.0,0.0,0.0,0.0,1.0,5.0,16.0,3.0,3.0,0.0,13.0
Rhizocorallium,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,13.0
Dimorphichnus,0.0,0.0,0.0,1.0,3.0,2.0,11.0,2.0,0.0,0.0,1.0
Camborygma,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,7.0,5.0,0.0,68.0,25.0,2.0,0.0,34.0
Archaeonassa,0.0,0.0,0.0,5.0,2.0,0.0,28.0,7.0,0.0,0.0,14.0
Catenichnus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
Rosselia,0.0,0.0,0.0,0.0,1.0,5.0,7.0,2.0,1.0,0.0,4.0
Glockerichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cosmorhaphe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Rusophycus,2.0,0.0,0.0,3.0,5.0,4.0,51.0,25.0,0.0,0.0,16.0
Furculosus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
Spirorhaphe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Scolicia,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0
Syringomorpha,1.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
Spirophyton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ptychoplasma,0.0,0.0,0.0,4.0,0.0,0.0,18.0,5.0,0.0,0.0,13.0
Trichichnus,0.0,0.0,0.0,4.0,0.0,0.0,18.0,6.0,0.0,0.0,16.0
Protopaleodictyon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Arenicolites,0.0,3.0,0.0,9.0,3.0,5.0,55.0,11.0,1.0,0.0,25.0
Helminthopsis,5.0,0.0,4.0,4.0,2.0,5.0,33.0,19.0,10.0,4.0,27.0
Skolithos,6.0,6.0,2.0,29.0,15.0,15.0,147.0,28.0,2.0,0.0,43.0
Spirophycus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Treptichnus,2.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,0.0,0.0,11.0
Helicodromites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Volkichnium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
Vagorichnus,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Diplocraterion,1.0,0.0,0.0,2.0,6.0,5.0,25.0,4.0,1.0,0.0,5.0
Dictyodora,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
Balanoglossites,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Cylindrichnus,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Climactichnites,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0
Phycosiphon,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0
Planolites,1.0,1.0,4.0,9.0,5.0,6.0,80.0,18.0,6.0,5.0,44.0
