,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Steinichnus,0.0,0.0,3.0,5.0,1.0,3.0,7.0,1.0,1.0,0.0,0.0
Pilichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rhizocorallium,0.0,0.0,1.0,1.0,3.0,0.0,9.0,2.0,1.0,1.0,11.0
Halimedides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Camborygma,0.0,0.0,7.0,12.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0
Rebuffoichnus,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Phycodes,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0
Archaeonassa,0.0,0.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,0.0,0.0
Fictovichnus,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Avetoichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Rosselia,0.0,0.0,0.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0
Bichordites,0.0,0.0,5.0,5.0,0.0,3.0,6.0,2.0,0.0,0.0,19.0
Lorenzinia,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0
Laevicyclus,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0
Nummipera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Lunulichnus,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Spongeliomorpha,0.0,0.0,4.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0
Glockerichnus,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Cosmorhaphe,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,7.0,2.0,4.0
Rusophycus,0.0,6.0,10.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Spirorhaphe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Loloichnus,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Heimdallia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Scolicia,0.0,0.0,5.0,19.0,0.0,31.0,23.0,0.0,17.0,4.0,25.0
Megagrapton,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
Cardioichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Trichichnus,0.0,0.0,0.0,0.0,2.0,4.0,11.0,2.0,0.0,2.0,4.0
