,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Steinichnus,0.0,2.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0
Isopodichnus,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
Siphonichnus,0.0,0.0,0.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0
Gyrochorte,3.0,0.0,2.0,2.0,4.0,0.0,20.0,4.0,0.0,2.0,14.0
Mammillichnis,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Rhizocorallium,11.0,11.0,0.0,7.0,14.0,5.0,66.0,12.0,0.0,2.0,66.0
Camborygma,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Phycodes,4.0,0.0,10.0,12.0,1.0,24.0,12.0,2.0,1.0,0.0,7.0
Archaeonassa,0.0,0.0,0.0,1.0,1.0,22.0,8.0,1.0,0.0,0.0,0.0
Katbergia,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Catenichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0
Rosselia,1.0,0.0,0.0,1.0,0.0,0.0,23.0,3.0,0.0,0.0,9.0
Pramollichnus,0.0,0.0,0.0,1.0,1.0,22.0,8.0,1.0,0.0,0.0,0.0
Laevicyclus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0
Lophoctenium,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
Spongeliomorpha,0.0,0.0,0.0,5.0,2.0,0.0,20.0,9.0,0.0,0.0,7.0
Cosmorhaphe,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0
Rusophycus,2.0,0.0,9.0,5.0,1.0,9.0,16.0,3.0,0.0,0.0,1.0
Spirorhaphe,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,2.0
Scolicia,1.0,0.0,6.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0
Megagrapton,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Trichichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Protopaleodictyon,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
Arenicolites,2.0,0.0,12.0,14.0,5.0,27.0,15.0,7.0,0.0,0.0,5.0
Helminthopsis,9.0,0.0,6.0,2.0,9.0,0.0,25.0,6.0,0.0,0.0,12.0
Skolithos,19.0,4.0,19.0,68.0,12.0,56.0,107.0,22.0,1.0,0.0,22.0
Augerinoichnus,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0
Spirophycus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Treptichnus,9.0,2.0,7.0,7.0,14.0,4.0,31.0,4.0,0.0,0.0,12.0
Macanopsis,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifungites,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Vagorichnus,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Diplocraterion,3.0,3.0,2.0,9.0,14.0,4.0,38.0,10.0,0.0,0.0,20.0
Dictyodora,0.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0
Balanoglossites,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Parataenidium,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
Cylindrichnus,0.0,0.0,0.0,5.0,3.0,22.0,28.0,5.0,0.0,0.0,8.0
Phycosiphon,2.0,0.0,0.0,3.0,2.0,1.0,13.0,3.0,1.0,0.0,4.0
Sagittichnus,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planolites,13.0,4.0,18.0,40.0,21.0,49.0,98.0,14.0,1.0,4.0,65.0
Curvolithus,0.0,0.0,0.0,1.0,1.0,22.0,10.0,3.0,0.0,0.0,7.0
Halopoa,7.0,0.0,2.0,1.0,3.0,0.0,13.0,1.0,0.0,0.0,4.0
Zoophycos,4.0,0.0,0.0,8.0,6.0,22.0,85.0,15.0,1.0,5.0,56.0
Neonereites,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Chondrites,1.0,3.0,1.0,8.0,9.0,2.0,22.0,2.0,2.0,0.0,25.0
Trichophycus,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
Pholeus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Psammichnites,0.0,0.0,0.0,1.0,1.0,22.0,12.0,1.0,0.0,0.0,0.0
Ophiomorpha,1.0,1.0,2.0,2.0,0.0,0.0,13.0,5.0,0.0,0.0,8.0
Taenidium,0.0,0.0,5.0,5.0,2.0,29.0,15.0,2.0,0.0,0.0,13.0
Monocraterion,0.0,3.0,0.0,5.0,6.0,0.0,4.0,1.0,0.0,0.0,8.0
Gyrolithes,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Scalarituba,0.0,0.0,0.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0
Protovirgularia,0.0,0.0,0.0,3.0,4.0,0.0,18.0,3.0,0.0,0.0,3.0
Alcyonidiopsis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Nereites,0.0,0.0,0.0,2.0,3.0,22.0,15.0,1.0,1.0,0.0,7.0
Beaconites,0.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0
Palaeophycus,16.0,2.0,23.0,67.0,11.0,18.0,70.0,12.0,0.0,2.0,34.0
Paleodictyon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bergaueria,0.0,0.0,4.0,1.0,0.0,9.0,4.0,0.0,0.0,0.0,1.0
Hormosiroidea,3.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
Asterosoma,0.0,0.0,0.0,3.0,3.0,2.0,17.0,3.0,0.0,0.0,6.0
Fucusopsis,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixoteichichnus,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Macaronichnus,3.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,1.0,0.0,3.0
Entradichnus,0.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Thalassinoides,2.0,11.0,0.0,11.0,12.0,4.0,67.0,19.0,0.0,0.0,68.0
Psilonichnus,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0
Phymatoderma,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0
Diplichnites,3.0,3.0,19.0,28.0,14.0,9.0,41.0,6.0,0.0,0.0,18.0
Fuersichnus,0.0,0.0,8.0,21.0,2.0,9.0,6.0,2.0,0.0,0.0,0.0
Arachnostega,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Virgaichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Hydrancylus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Spirodesmos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Didymaulichnus,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0
Lockeia,1.0,0.0,11.0,12.0,7.0,22.0,18.0,4.0,0.0,0.0,9.0
Scoyenia,2.0,7.0,20.0,27.0,17.0,0.0,52.0,5.0,0.0,1.0,20.0
Cruziana,37.0,2.0,21.0,65.0,11.0,50.0,163.0,43.0,1.0,0.0,16.0
Circulichnis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Walpia,0.0,0.0,8.0,5.0,0.0,0.0,16.0,5.0,0.0,0.0,10.0
