,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Pilichnus,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Gyrochorte,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0
Rhizocorallium,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0
Dimorphichnus,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,6.0
Phycodes,7.0,0.0,1.0,0.0,0.0,10.0,23.0,19.0,0.0,0.0,40.0
Archaeonassa,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,12.0
Rosselia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Brooksella,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0
Spongeliomorpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Glockerichnus,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0
Rusophycus,0.0,5.0,0.0,3.0,8.0,4.0,38.0,20.0,0.0,0.0,34.0
Syringomorpha,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0
Arenicolites,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0
Helminthopsis,5.0,0.0,8.0,4.0,4.0,0.0,26.0,7.0,2.0,7.0,9.0
Skolithos,1.0,0.0,2.0,7.0,0.0,0.0,30.0,4.0,0.0,0.0,41.0
Treptichnus,8.0,4.0,0.0,12.0,6.0,11.0,57.0,11.0,0.0,6.0,58.0
Torrowangea,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplocraterion,7.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,37.0
Dictyodora,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
Climactichnites,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,1.0
Planolites,11.0,1.0,1.0,12.0,6.0,1.0,57.0,2.0,0.0,1.0,78.0
Zoophycos,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Neonereites,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,7.0
Chondrites,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
Trichophycus,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
Gyrophyllites,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Psammichnites,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,6.0
Taenidium,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
Monocraterion,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Gyrolithes,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
Multina,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Protovirgularia,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0
Nereites,7.0,0.0,0.0,0.0,0.0,7.0,17.0,5.0,0.0,6.0,27.0
Palaeophycus,11.0,0.0,1.0,0.0,2.0,0.0,44.0,0.0,0.0,6.0,72.0
Streptichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bergaueria,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
Thalassinoides,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplichnites,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,6.0,6.0
Biformites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Didymaulichnus,0.0,0.0,1.0,0.0,3.0,0.0,24.0,0.0,0.0,6.0,42.0
Lockeia,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Cruziana,0.0,4.0,0.0,1.0,6.0,3.0,23.0,12.0,0.0,0.0,14.0
Teichichnus,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0
Nenoxites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Cochlichnus,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0
Conichnus,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oldhamia,4.0,0.0,8.0,6.0,4.0,0.0,35.0,9.0,7.0,6.0,11.0
