,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Gyrochorte,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Rhizocorallium,0.0,0.0,0.0,4.0,0.0,4.0,9.0,1.0,0.0,0.0,5.0
Camborygma,0.0,2.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,3.0,2.0,0.0,12.0,1.0,0.0,0.0,3.0
Archaeonassa,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0
Rosselia,0.0,0.0,0.0,5.0,11.0,0.0,8.0,0.0,0.0,0.0,8.0
Laevicyclus,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
Rusophycus,9.0,0.0,0.0,19.0,0.0,16.0,21.0,2.0,0.0,0.0,3.0
Heimdallia,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Scolicia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
Syringomorpha,8.0,0.0,0.0,8.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0
Ptychoplasma,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0
Trichichnus,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0
Arenicolites,0.0,0.0,0.0,8.0,11.0,0.0,20.0,1.0,0.0,0.0,11.0
Helminthopsis,1.0,0.0,2.0,1.0,1.0,0.0,16.0,4.0,2.0,1.0,6.0
Skolithos,8.0,2.0,5.0,31.0,20.0,26.0,98.0,9.0,0.0,0.0,17.0
Treptichnus,3.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0
Torrowangea,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0
Vagorichnus,0.0,2.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Diplocraterion,0.0,0.0,1.0,5.0,3.0,0.0,17.0,2.0,0.0,0.0,6.0
Dictyodora,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,3.0,3.0,0.0
Cylindrichnus,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Planolites,0.0,2.0,4.0,15.0,19.0,7.0,51.0,7.0,1.0,1.0,13.0
Curvolithus,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0
