,glacial,desert,lake,fluvial,estuarine,deltaic,coastal,shelf,continental margin,ocean basin,carbonate
Isopodichnus,0.0,2.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,0.0
Siphonichnus,0.0,2.0,1.0,5.0,7.0,0.0,23.0,5.0,0.0,0.0,2.0
Gyrochorte,3.0,2.0,1.0,5.0,9.0,0.0,43.0,11.0,0.0,2.0,29.0
Mammillichnis,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Rhizocorallium,5.0,10.0,6.0,9.0,15.0,16.0,193.0,38.0,2.0,2.0,141.0
Camborygma,0.0,3.0,9.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Fontanai,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,3.0,0.0,3.0,15.0,2.0,13.0,43.0,11.0,6.0,0.0,27.0
Archaeonassa,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Katbergia,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Catenichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Rosselia,0.0,0.0,0.0,6.0,2.0,2.0,46.0,6.0,0.0,0.0,22.0
Lorenzinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Laevicyclus,0.0,2.0,3.0,4.0,2.0,0.0,18.0,6.0,2.0,2.0,22.0
Lophoctenium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Spongeliomorpha,0.0,0.0,1.0,17.0,7.0,2.0,127.0,43.0,0.0,0.0,30.0
Cosmorhaphe,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0
Rusophycus,0.0,2.0,1.0,11.0,2.0,5.0,58.0,18.0,0.0,0.0,6.0
Spirorhaphe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Loloichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Scolicia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
