,Pilichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Phycodes,Archaeonassa,Rosselia,Lorenzinia,Lophoctenium,Brooksella,Spongeliomorpha,Glockerichnus,Rusophycus,Spirorhaphe,Syringomorpha,Spirophyton,Astropolichnus,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Alectorurus,Diplocraterion,Dictyodora,Cylindrichnus,Climactichnites,Dactylophycus,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Amanitichnus,Taenidium,Monocraterion,Gyrolithes,Multina,Protovirgularia,Nereites,Beaconites,Palaeophycus,Streptichnus,Paleodictyon,Bergaueria,Hormosiroidea,Conostichus,Asterosoma,Aglaspidichnus,Polarichnus,Macaronichnus,Arthrophycus,Entradichnus,Thalassinoides,Diplichnites,Biformites,Cladichnus,Arachnostega,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Teichichnus,Margaritichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia
Pilichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07339449541284404
Gyrochorte,0.0,1.0,0.3333333333333333,0.0,0.012048192771084338,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.02127659574468085,0.2,0.0,0.0,0.07692307692307693,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.1,0.0,0.0,0.011494252873563218,0.02,0.0,0.08333333333333333,0.0,0.06666666666666667,0.0,0.0
Rhizocorallium,0.0,0.3333333333333333,1.0,0.025,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Dimorphichnus,0.0,0.0,0.025,1.0,0.046296296296296294,0.13636363636363635,0.022727272727272728,0.0,0.0,0.0,0.09523809523809523,0.14705882352941177,0.06772908366533864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320754716981132,0.04390243902439024,0.019157088122605363,0.0,0.0,0.018518518518518517,0.0,0.029411764705882353,0.0,0.0,0.06763285024154589,0.0,0.0,0.0,0.04878048780487805,0.0,0.014705882352941176,0.02564102564102564,0.02197802197802198,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.08139534883720931,0.0,0.06315789473684211,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.43859649122807015,0.09302325581395349,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.09042553191489362,0.0,0.0,0.0,0.0,0.18421052631578946,0.0,0.014598540145985401
Phycodes,0.0,0.012048192771084338,0.0,0.046296296296296294,1.0,0.03260869565217391,0.034482758620689655,0.02531645569620253,0.0,0.0,0.0,0.0,0.10211267605633803,0.0,0.0,0.0,0.0,0.0759493670886076,0.0,0.01652892561983471,0.039603960396039604,0.01968503937007874,0.09507042253521127,0.0,0.0,0.03333333333333333,0.03571428571428571,0.0,0.0,0.012658227848101266,0.09016393442622951,0.0,0.012658227848101266,0.0,0.011494252873563218,0.022988505747126436,0.03636363636363636,0.024096385542168676,0.022222222222222223,0.0,0.0379746835443038,0.022222222222222223,0.037383177570093455,0.0,0.0,0.0,0.0,0.140625,0.0,0.0,0.04310344827586207,0.0,0.0,0.02531645569620253,0.0,0.012658227848101266,0.0,0.024390243902439025,0.0,0.0,0.024193548387096774,0.0,0.02531645569620253,0.0,0.0,0.03125,0.0,0.0,0.0,0.02880658436213992,0.02459016393442623,0.0125,0.0,0.0,0.022727272727272728,0.0,0.022222222222222223
Archaeonassa,0.0,0.0,0.0,0.13636363636363635,0.03260869565217391,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.3125,0.03305785123966942,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.034482758620689655,0.13513513513513514,0.010309278350515464,0.024793388429752067,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.047619047619047616,0.056338028169014086,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.11538461538461539,0.0,0.0,0.125,0.0,0.0,0.0,0.05,0.0,0.0,0.12280701754385964,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.02185792349726776,0.06896551724137931,0.0,0.0,0.0,0.22727272727272727,0.0,0.0
Rosselia,0.0,0.06666666666666667,0.058823529411764705,0.022727272727272728,0.034482758620689655,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.016597510373443983,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.010582010582010581,0.02531645569620253,0.0,0.0,0.10126582278481013,0.0,0.09090909090909091,0.0,0.0,0.03664921465968586,0.0,0.0,0.0,0.05263157894736842,0.0,0.09523809523809523,0.0,0.06060606060606061,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0392156862745098,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzinia,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.01904761904761905
Lophoctenium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0,0.0,0.0196078431372549,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brooksella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
