,Isopodichnus,Siphonichnus,Pentichnus,Rhizocorallium,Camborygma,Phycodes,Archaeonassa,Rosselia,Pramollichnus,Laevicyclus,Lophoctenium,Glockerichnus,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Spirophyton,Megagrapton,Ptychoplasma,Protopaleodictyon,Arenicolites,Helminthopsis,Pennatulites,Dactyloidites,Skolithos,Treptichnus,Vagorichnus,Diplocraterion,Dictyodora,Hartsellea,Parataenidium,Cylindrichnus,Phycosiphon,Paleomeandron,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Multina,Scalarituba,Protovirgularia,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Echinospira,Hormosiroidea,Conostichus,Asterosoma,Arthrophycus,Entradichnus,Thalassinoides,Hillichnus,Phymatoderma,Diplichnites,Biformites,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Circulichnis,Teichichnus,Ancorichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia
Isopodichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siphonichnus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.013513513513513514,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Pentichnus,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhizocorallium,0.0,0.0,0.05555555555555555,1.0,0.0,0.09523809523809523,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.058823529411764705,0.0,0.057692307692307696,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.02702702702702703,0.0625,0.03296703296703297,0.0,0.0,0.08433734939759036,0.0,0.13846153846153847,0.0,0.1111111111111111,0.017543859649122806,0.0,0.05,0.047619047619047616,0.047619047619047616,0.018867924528301886,0.0,0.09090909090909091,0.0625,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0625,0.05952380952380952,0.0,0.09090909090909091,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
Camborygma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,0.09523809523809523,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.1111111111111111,0.06666666666666667,0.047619047619047616,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.0125,0.125,0.031746031746031744,0.0,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.0975609756097561,0.0,0.08,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
Archaeonassa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.05128205128205128,0.16666666666666666,0.0,0.04,0.0,0.0,0.25,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.05,0.2857142857142857,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Rosselia,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.012658227848101266,0.09090909090909091,0.0,0.013333333333333334,0.3333333333333333,0.034482758620689655,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.02564102564102564,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.25,0.09090909090909091,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
Pramollichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.02564102564102564,0.09090909090909091,0.0,0.02702702702702703,0.0,0.0,0.14285714285714285,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.05263157894736842,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
Laevicyclus,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
