,Steinichnus,Siphonichnus,Pilichnus,Gyrochorte,Rhizocorallium,Halimedides,Camborygma,Rebuffoichnus,Fontanai,Phycodes,Rutichnus,Fictovichnus,Skolichnus,Rosselia,Bichordites,Laevicyclus,Strobilorhaphe,Lophoctenium,Spongeliomorpha,Jamesonichnites,Socialites,Cosmorhaphe,Spirorhaphe,Loloichnus,Heimdallia,Scolicia,Spirophyton,Megagrapton,Cardioichnus,Trichichnus,Termitichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Desmograpton,Spirophycus,Asthenopodichnium,Helicodromites,Macanopsis,Torrowangea,Naktodemasis,Haentzschelinia,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Belorhaphe,Cylindrichnus,Phycosiphon,Sagittichnus,Attaichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Bathichnus,Pholeus,Gyrophyllites,Parowanichnus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Ellipsoideichnus,Multina,Teisseirei,Spirographites,Protovirgularia,Alcyonidiopsis,Zavitokichnus,Nereites,Monesichnus,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Paradictyodora,Hormosiroidea,Asterosoma,Mixoteichichnus,Macaronichnus,Arthrophycus,Patagonichnus,Lapispira,Entradichnus,Thalassinoides,Psilonichnus,Ereipichnus,Hillichnus,Phymatoderma,Atollites,Diplichnites,Cylindricum,Helminthorhaphe,Daedalus,Cladichnus,Arachnostega,Polykampton,Spirodesmos,Lockeia,Scoyenia,Cruziana,Circulichnis,Ilmenichnus,Sinusichnus,Teichichnus,Lingulichnus,Urohelminthoida,Cochlichnus,Conichnus,Polykladichnus
Steinichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
Siphonichnus,0.0,1.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.003289473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.1,0.5
Pilichnus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016216216216216217,0.0,0.0,0.012195121951219513,0.0,0.012396694214876033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0
Gyrochorte,0.0,0.038461538461538464,0.0,1.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0196078431372549,0.0,0.037037037037037035,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.07142857142857142,0.0,0.05555555555555555,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.017543859649122806,0.014925373134328358,0.0,0.0,0.029411764705882353,0.0,0.038461538461538464,0.0,0.04,0.015209125475285171,0.0,0.0,0.0,0.0,0.012658227848101266,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.015625,0.0,0.0,0.043859649122807015,0.0,0.0,0.05555555555555555,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.02821316614420063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.010752688172043012,0.0,0.0,0.034482758620689655,0.061224489795918366,0.0,0.0,0.0,0.0,0.04
Rhizocorallium,0.0,0.0,0.0,0.010416666666666666,1.0,0.03488372093023256,0.0,0.0,0.0,0.060240963855421686,0.0,0.0,0.0,0.05319148936170213,0.0,0.013513513513513514,0.0,0.0,0.011904761904761904,0.0,0.0,0.0125,0.0,0.0,0.0,0.05,0.0,0.012987012987012988,0.0,0.029411764705882353,0.0,0.0,0.0,0.0380952380952381,0.0594059405940594,0.0,0.036585365853658534,0.05327868852459016,0.0,0.0,0.012048192771084338,0.04,0.0,0.0,0.0,0.0,0.0,0.07777777777777778,0.0,0.0136986301369863,0.0,0.06060606060606061,0.11650485436893204,0.013888888888888888,0.0,0.06198347107438017,0.013888888888888888,0.0136986301369863,0.019230769230769232,0.013888888888888888,0.039735099337748346,0.0,0.027777777777777776,0.0,0.0,0.05514705882352941,0.04424778761061947,0.0410958904109589,0.0851063829787234,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.04,0.009009009009009009,0.0,0.0,0.07096774193548387,0.06172839506172839,0.0,0.036585365853658534,0.0,0.0,0.1111111111111111,0.0,0.010416666666666666,0.0,0.041666666666666664,0.0,0.0,0.09011627906976744,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.013157894736842105,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.013157894736842105,0.10218978102189781,0.0,0.0,0.012658227848101266,0.02531645569620253,0.0
Halimedides,0.0,0.0,0.0,0.0,0.03488372093023256,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01507537688442211,0.0,0.0,0.039525691699604744,0.0,0.01171875,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.00946372239747634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camborygma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebuffoichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fontanai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,0.10810810810810811,0.060240963855421686,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,0.10256410256410256,0.0,0.11764705882352941,0.05,0.05555555555555555,0.03571428571428571,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.11363636363636363,0.0,0.1,0.0625,0.0,0.0,0.0,0.0,0.23255813953488372,0.10869565217391304,0.0,0.11538461538461539,0.03608247422680412,0.0625,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.16666666666666666,0.09259259259259259,0.0,0.0,0.06349206349206349,0.0625,0.125,0.0038314176245210726,0.0625,0.04878048780487805,0.0,0.058823529411764705,0.05263157894736842,0.0,0.03587443946188341,0.10714285714285714,0.17647058823529413,0.0,0.0,0.0625,0.0,0.0,0.1111111111111111,0.041666666666666664,0.0,0.037037037037037035,0.0,0.0,0.1,0.1111111111111111,0.03333333333333333,0.11538461538461539,0.0,0.0,0.1,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.049342105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.05,0.13095238095238096,0.0,0.0625,0.043478260869565216,0.041666666666666664,0.0
