,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Phycodes,Rosselia,Laevicyclus,Lophoctenium,Brooksella,Spongeliomorpha,Glockerichnus,Cosmorhaphe,Rusophycus,Altichnus,Heimdallia,Scolicia,Parahaentzschelinia,Spirophyton,Megagrapton,Lennea,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Piscichnus,Bifungites,Naktodemasis,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Osculichnus,Phycosiphon,Furnasichnus,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Didymaulyponomos,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Dendrotichnium,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Asterosoma,Chagrinichnites,Polarichnus,Arthrophycus,Entradichnus,Thalassinoides,Psilonichnus,Hillichnus,Phymatoderma,Diplichnites,Daedalus,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Ilmenichnus,Teichichnus,Scalichnus,Margaritichnus,Arenituba,Cochlichnus,Oldhamia
Isopodichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siphonichnus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
Gyrochorte,0.0,0.0,1.0,1.0,0.057692307692307696,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammillichnis,0.0,0.0,1.0,1.0,0.057692307692307696,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhizocorallium,0.0,0.0,0.057692307692307696,0.057692307692307696,1.0,0.0,0.2903225806451613,0.07407407407407407,0.0,0.0,0.0,0.03571428571428571,0.0,0.05660377358490566,0.17647058823529413,0.0,0.038461538461538464,0.0,0.0,0.07547169811320754,0.05454545454545454,0.0,0.0,0.0,0.11290322580645161,0.0,0.10144927536231885,0.0,0.0,0.0,0.0,0.17333333333333334,0.0,0.11538461538461539,0.125,0.0,0.07246376811594203,0.0,0.07377049180327869,0.0,0.08287292817679558,0.0,0.14423076923076922,0.038461538461538464,0.038461538461538464,0.018518518518518517,0.0,0.0,0.0,0.02564102564102564,0.019230769230769232,0.0,0.0,0.019230769230769232,0.02247191011235955,0.0,0.2087912087912088,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1411764705882353,0.0,0.0,0.07407407407407407,0.0,0.0,0.034482758620689655,0.031746031746031744,0.0,0.038461538461538464,0.027586206896551724,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0
Camborygma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.10714285714285714,0.10714285714285714,0.2903225806451613,0.0,1.0,0.0,0.06666666666666667,0.06896551724137931,0.0,0.0,0.0,0.14285714285714285,0.24444444444444444,0.0,0.0,0.0,0.0,0.13793103448275862,0.1724137931034483,0.0,0.0,0.10714285714285714,0.125,0.07894736842105263,0.11304347826086956,0.0,0.0,0.0,0.0,0.20754716981132076,0.0,0.1724137931034483,0.14705882352941177,0.0,0.06382978723404255,0.0,0.12631578947368421,0.0,0.075,0.0967741935483871,0.1728395061728395,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.037037037037037035,0.03571428571428571,0.02857142857142857,0.03571428571428571,0.0,0.06349206349206349,0.0,0.2647058823529412,0.10344827586206896,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.10606060606060606,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.016260162601626018,0.0,0.0392156862745098,0.0,0.0,0.0,0.02857142857142857,0.0
Rosselia,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.13333333333333333,0.0,0.07692307692307693,0.0,0.024096385542168676,0.0,0.0,0.0,0.028169014084507043,0.3333333333333333,0.3333333333333333,0.0,0.0,0.15384615384615385,0.0,0.0625,0.0,0.16666666666666666,0.0,0.0,0.046511627906976744,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.04081632653061224,0.0,0.0,0.2,0.0,0.0,0.16666666666666666,0.11764705882352941,0.0,0.3333333333333333,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laevicyclus,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Lophoctenium,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.4,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.00684931506849315,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
