,Steinichnus,Siphonichnus,Pilichnus,Gyrochorte,Rhizocorallium,Camborygma,Rebuffoichnus,Phycodes,Rutichnus,Fictovichnus,Rosselia,Bichordites,Laevicyclus,Lophoctenium,Spongeliomorpha,Jamesonichnites,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Scolicia,Parahaentzschelinia,Spirophyton,Megagrapton,Ptychoplasma,Trichichnus,Termitichnus,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Spirophycus,Treptichnus,Helicodromites,Macanopsis,Megaplanolites,Naktodemasis,Haentzschelinia,Vagorichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Dactylophycus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Pholeus,Gyrophyllites,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Bornichnus,Phoebichnus,Asterosoma,Mixoteichichnus,Macaronichnus,Arthrophycus,Lapispira,Entradichnus,Thalassinoides,Psilonichnus,Bolonia,Hillichnus,Imponoglyphus,Phymatoderma,Diplichnites,Cylindricum,Helminthorhaphe,Daedalus,Fuersichnus,Arachnostega,Tisoa,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Walpia,Teichichnus,Scalichnus,Ancorichnus,Compaginatichnus,Calceoformites,Margaritichnus,Cochlichnus,Conichnus,Polykladichnus
Steinichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siphonichnus,0.0,1.0,0.0,0.015384615384615385,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.08333333333333333,0.0,0.14285714285714285,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.03896103896103896,0.06451612903225806,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.04918032786885246,0.125,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.2,0.0,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.016129032258064516,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Pilichnus,0.0,0.0,1.0,0.016129032258064516,0.01694915254237288,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,1.0,0.009174311926605505,0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.013157894736842105,0.034482758620689655,0.1,1.0,0.0,0.1,0.0,0.07692307692307693,0.2,0.016666666666666666,0.0,0.0,0.2,0.0,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.041666666666666664,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0
Gyrochorte,0.0,0.015384615384615385,0.016129032258064516,1.0,0.1308411214953271,0.0,0.0,0.19444444444444445,0.03225806451612903,0.0,0.02631578947368421,0.016129032258064516,0.015384615384615385,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.15942028985507245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22784810126582278,0.109375,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.016129032258064516,0.17123287671232876,0.0,0.0,0.0,0.08496732026143791,0.0,0.0,0.09523809523809523,0.1375,0.014084507042253521,0.016129032258064516,0.03225806451612903,0.09090909090909091,0.0,0.013513513513513514,0.015151515151515152,0.22,0.0,0.0,0.03076923076923077,0.0,0.014705882352941176,0.12162162162162163,0.0,0.0,0.0,0.0,0.0,0.13548387096774195,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.015384615384615385,0.14666666666666667,0.0,0.008333333333333333,0.0,0.10476190476190476,0.0,0.04285714285714286,0.0,0.0,0.016129032258064516,0.015151515151515152,0.047619047619047616,0.015384615384615385
Rhizocorallium,0.0,0.016129032258064516,0.01694915254237288,0.1308411214953271,1.0,0.0,0.0,0.27692307692307694,0.03389830508474576,0.0,0.08695652173913043,0.0,0.06779661016949153,0.0,0.03225806451612903,0.05084745762711865,0.0,0.0,0.0,0.0,0.06944444444444445,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.23684210526315788,0.0,0.0,0.109375,0.15037593984962405,0.0,0.0,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.016666666666666666,0.09375,0.047619047619047616,0.01694915254237288,0.23529411764705882,0.046153846153846156,0.0,0.01694915254237288,0.11643835616438356,0.03389830508474576,0.0,0.21621621621621623,0.03529411764705882,0.1694915254237288,0.01694915254237288,0.0,0.045454545454545456,0.0,0.02857142857142857,0.015873015873015872,0.23958333333333334,0.04918032786885246,0.0,0.04918032786885246,0.0,0.047619047619047616,0.17647058823529413,0.0,0.015151515151515152,0.0,0.0,0.0,0.3106060606060606,0.0,0.0,0.0,0.05084745762711865,0.0,0.015151515151515152,0.0,0.01694915254237288,0.01694915254237288,0.0,0.01694915254237288,0.0,0.03278688524590164,0.024691358024691357,0.0,0.008547008547008548,0.0,0.18947368421052632,0.0,0.0,0.0,0.0,0.01694915254237288,0.03225806451612903,0.016129032258064516,0.016129032258064516
Camborygma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebuffoichnus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.041666666666666664,0.19444444444444445,0.27692307692307694,0.0,0.0,1.0,0.0,0.0,0.08108108108108109,0.0,0.16666666666666666,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.2222222222222222,0.0,0.2,0.1346153846153846,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.20689655172413793,0.0,0.041666666666666664,0.20909090909090908,0.03125,0.0,0.0,0.11304347826086956,0.04,0.0,0.20481927710843373,0.15217391304347827,0.4166666666666667,0.041666666666666664,0.0,0.0625,0.0,0.027777777777777776,0.03571428571428571,0.2537313432835821,0.0,0.0,0.07407407407407407,0.0,0.03333333333333333,0.21621621621621623,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.037037037037037035,0.2,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.041666666666666664,0.07407407407407407,0.037037037037037035,0.0
Rutichnus,0.0,0.0,0.0,0.03225806451612903,0.03389830508474576,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fictovichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
