,Siphonichnus,Rhizocorallium,Halimedides,Rebuffoichnus,Saronichnus,Phycodes,Fictovichnus,Katbergia,Rosselia,Bichordites,Lorenzinia,Laevicyclus,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Cardioichnus,Trichichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Desmograpton,Spirophycus,Treptichnus,Lanicoidichna,Piscichnus,Helicodromites,Macanopsis,Kulindrichnus,Daimonelix,Naktodemasis,Haentzschelinia,Vagorichnus,Castrichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Polychoredrites,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Bathichnus,Gyrophyllites,Parowanichnus,Ophiomorpha,Taenidium,Gyrolithes,Daimoniobarax,Kladosystemites,Multina,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Paradictyodora,Phoebichnus,Asterosoma,Macaronichnus,Patagonichnus,Katarrhedrites,Thalassinoides,Psilonichnus,Phymatoderma,Helminthorhaphe,Arachnostega,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Sinusichnus,Teichichnus,Scalichnus,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Siphonichnus,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.3333333333333333,0.17391304347826086,0.08108108108108109,0.0,0.0,0.07894736842105263,0.0,0.009615384615384616,0.0,0.05,0.0,0.0,0.0,0.01744186046511628,0.03225806451612903,0.05,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0625,0.0,0.046875,0.03333333333333333,0.0,0.0,0.0,0.1,0.03773584905660377,0.0,0.0,0.022388059701492536,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.045454545454545456,0.0,0.0
Rhizocorallium,0.18181818181818182,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.03125,0.0,0.14285714285714285,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.2857142857142857,0.07692307692307693,0.07894736842105263,0.0,0.0,0.0641025641025641,0.0,0.009523809523809525,0.0,0.04918032786885246,0.0,0.0,0.0,0.023255813953488372,0.06557377049180328,0.10256410256410256,0.0,0.0,0.14285714285714285,0.0,0.0,0.13333333333333333,0.0,0.06060606060606061,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.03759398496240601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
Halimedides,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebuffoichnus,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saronichnus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
Fictovichnus,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katbergia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.058823529411764705,0.0,0.16666666666666666
Rosselia,0.06451612903225806,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0196078431372549,0.056074766355140186,0.0,0.0,0.0,0.0,0.08108108108108109,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.07407407407407407,0.14285714285714285,0.03389830508474576,0.0,0.0,0.03,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.036585365853658534,0.05,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.03773584905660377,0.0,0.03529411764705882,0.061224489795918366,0.0,0.0,0.0,0.03225806451612903,0.05555555555555555,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0
Bichordites,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.037037037037037035,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.1,0.1875,0.0,0.0,0.0,0.10869565217391304,0.1388888888888889,0.0,0.125,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08620689655172414,0.0,0.0,0.05,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.025906735751295335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.0,0.058823529411764705,0.0,0.10869565217391304,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.03225806451612903,0.0,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.16666666666666666
Lorenzinia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.7142857142857143,0.0,0.07692307692307693,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.21739130434782608,0.5,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.03550295857988166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.08064516129032258,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143
Laevicyclus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.2727272727272727,0.38461538461538464,0.0,0.0,0.01098901098901099,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.14285714285714285,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.08620689655172414,0.0,0.0,0.0,0.03550295857988166,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.09836065573770492,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.027777777777777776,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.045454545454545456,0.0,1.0
Spongeliomorpha,0.15384615384615385,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376344086023,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.13157894736842105,0.0,0.0,0.0625,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.028901734104046242,0.046875,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.05714285714285714,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmorhaphe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,1.0,0.0,0.7777777777777778,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.012048192771084338,0.7777777777777778,0.0,0.0,0.015625,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rusophycus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirorhaphe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,1.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scolicia,0.04838709677419355,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.1,0.08333333333333333,0.08333333333333333,0.030303030303030304,0.11666666666666667,0.0,0.11666666666666667,1.0,0.0,0.0,0.0,0.0,0.14084507042253522,0.07575757575757576,0.0,0.0,0.058394160583941604,0.07692307692307693,0.0,0.0,0.0,0.16129032258064516,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.03389830508474576,0.012658227848101266,0.13414634146341464,0.0,0.0,0.11570247933884298,0.11666666666666667,0.01935483870967742,0.0,0.1485148514851485,0.0,0.0,0.0,0.18134715025906736,0.10377358490566038,0.13095238095238096,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.01694915254237288,0.3384615384615385,0.0,0.14285714285714285,0.05,0.17391304347826086,0.0,0.0,0.04918032786885246,0.018867924528301886,0.0,0.0,0.15151515151515152,0.0,0.0,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.05434782608695652,0.11864406779661017,0.0,0.013333333333333334,0.0,0.08333333333333333
Cardioichnus,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0
Trichichnus,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Protopaleodictyon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Coprinisphaera,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
