,Gyrochorte,Rhizocorallium,Camborygma,Phycodes,Archaeonassa,Rosselia,Laevicyclus,Rusophycus,Heimdallia,Scolicia,Syringomorpha,Ptychoplasma,Trichichnus,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Bifungites,Vagorichnus,Diplocraterion,Dictyodora,Cylindrichnus,Furnasichnus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Trichophycus,Didymaulyponomos,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Nereites,Beaconites,Palaeophycus,Paleodictyon,Conostichus,Polarichnus,Arthrophycus,Entradichnus,Thalassinoides,Keilorites,Diplichnites,Cylindricum,Daedalus,Yangziichnus,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Teichichnus,Margaritichnus,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Gyrochorte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhizocorallium,0.0,1.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.08333333333333333,0.4,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.4,0.0,0.25,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.04,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
Camborygma,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Archaeonassa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosselia,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.08,0.3333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.1016949152542373,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.18181818181818182,0.0,0.0,0.0,0.4,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.0392156862745098,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.18181818181818182,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0
Laevicyclus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rusophycus,0.0,0.08333333333333333,0.0,0.0,0.0,0.08,0.0,1.0,0.09523809523809523,0.0,0.38095238095238093,0.0,0.0,0.18518518518518517,0.0,0.21212121212121213,0.0,0.0,0.047619047619047616,0.0,0.14814814814814814,0.0,0.14285714285714285,0.047619047619047616,0.08,0.0,0.0,0.0,0.023255813953488372,0.043478260869565216,0.09523809523809523,0.0,0.08333333333333333,0.13333333333333333,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.09523809523809523,0.0625,0.0,0.04878048780487805,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.2,0.12,0.0,0.2125,0.043478260869565216,0.09523809523809523,0.0,0.0,0.0,0.0
Heimdallia,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.09523809523809523,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.2,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0425531914893617,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2857142857142857,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
Scolicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
