,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Fontanai,Phycodes,Archaeonassa,Katbergia,Catenichnus,Rosselia,Lorenzinia,Laevicyclus,Lophoctenium,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Scolicia,Megagrapton,Ptychoplasma,Trichichnus,Termitichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Dactyloidites,Skolithos,Treptichnus,Helicodromites,Macanopsis,Unisulcus,Bifungites,Vagorichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Ctenopholeus,Neonereites,Chondrites,Trichophycus,Pholeus,Psammichnites,Parowanichnus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Ellipsoideichnus,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Monesichnus,Palaeophycus,Paleodictyon,Bergaueria,Asterosoma,Mixoteichichnus,Macaronichnus,Entradichnus,Thalassinoides,Diplichnites,Cylindricum,Biformites,Fuersichnus,Arachnostega,Tisoa,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Ancorichnus,Compaginatichnus,Lingulichnus,Cochlichnus,Conichnus,Oldhamia
Isopodichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.5,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siphonichnus,0.0,1.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.08196721311475409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.21428571428571427,0.0,0.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.028708133971291867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.05,0.0,0.0,0.037037037037037035,0.0,0.0,0.022727272727272728,0.0,0.0,0.0
Gyrochorte,0.0,0.0,1.0,0.10714285714285714,0.022123893805309734,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.03571428571428571,0.09375,0.0,0.21428571428571427,0.0,0.0,0.0,0.10606060606060606,0.02040816326530612,0.0,0.006369426751592357,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.01818181818181818,0.05172413793103448,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.15625,0.0,0.0,0.0,0.0,0.12195121951219512,0.0,0.0,0.0,0.08943089430894309,0.0,0.0,0.0,0.0,0.0,0.0,0.048672566371681415,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.09090909090909091,0.0,0.0,0.0,0.03571428571428571,0.02040816326530612,0.0,0.0,0.0,0.013157894736842105,0.0,0.0
Mammillichnis,0.0,0.0,0.10714285714285714,1.0,0.014778325123152709,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.019736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhizocorallium,0.0,0.004807692307692308,0.022123893805309734,0.014778325123152709,1.0,0.0,0.0,0.044642857142857144,0.0,0.0,0.0049261083743842365,0.028037383177570093,0.0,0.004608294930875576,0.0,0.14847161572052403,0.014634146341463415,0.028169014084507043,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.024793388429752067,0.008968609865470852,0.0049261083743842365,0.07766990291262135,0.02843601895734597,0.0049261083743842365,0.0,0.0,0.019704433497536946,0.0,0.10176991150442478,0.052132701421800945,0.03125,0.02608695652173913,0.0,0.19932432432432431,0.0196078431372549,0.029556650246305417,0.09016393442622951,0.0,0.0,0.09375,0.08962264150943396,0.03940886699507389,0.0,0.0,0.004629629629629629,0.017467248908296942,0.004739336492890996,0.009852216748768473,0.0,0.0,0.0,0.04739336492890995,0.0,0.0,0.0,0.08041958041958042,0.0,0.019704433497536946,0.009433962264150943,0.0,0.0,0.0,0.42560553633217996,0.1141552511415525,0.0,0.0,0.0,0.019704433497536946,0.0,0.0,0.037815126050420166,0.0,0.10218978102189781,0.0,0.0,0.022727272727272728,0.009852216748768473,0.0,0.004149377593360996,0.016129032258064516,0.029411764705882353,0.0
Camborygma,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fontanai,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phycodes,0.0,0.0,0.18,0.0967741935483871,0.044642857142857144,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.12195121951219512,0.0,0.02247191011235955,0.09090909090909091,0.0,0.0,0.0,0.03225806451612903,0.08571428571428572,0.0,0.15625,0.0,0.0,0.0,0.15151515151515152,0.019230769230769232,0.03225806451612903,0.06622516556291391,0.125,0.03225806451612903,0.0,0.0,0.0,0.0,0.08450704225352113,0.0,0.1346153846153846,0.20754716981132076,0.0,0.06395348837209303,0.125,0.0,0.0,0.0,0.1935483870967742,0.21666666666666667,0.0,0.11428571428571428,0.0,0.0,0.022727272727272728,0.016666666666666666,0.17647058823529413,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.15126050420168066,0.0,0.12903225806451613,0.05,0.0,0.0,0.0,0.07623318385650224,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.11940298507462686,0.0,0.0743801652892562,0.0,0.0,0.17777777777777778,0.0,0.0,0.04477611940298507,0.14285714285714285,0.11764705882352941,0.18181818181818182
Archaeonassa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0
Katbergia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
