,Pilichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Phycodes,Archaeonassa,Rosselia,Lorenzinia,Lophoctenium,Brooksella,Spongeliomorpha,Glockerichnus,Rusophycus,Spirorhaphe,Syringomorpha,Spirophyton,Astropolichnus,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Alectorurus,Diplocraterion,Dictyodora,Cylindrichnus,Climactichnites,Dactylophycus,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Amanitichnus,Taenidium,Monocraterion,Gyrolithes,Multina,Protovirgularia,Nereites,Beaconites,Palaeophycus,Streptichnus,Paleodictyon,Bergaueria,Hormosiroidea,Conostichus,Asterosoma,Aglaspidichnus,Polarichnus,Macaronichnus,Arthrophycus,Entradichnus,Thalassinoides,Diplichnites,Biformites,Cladichnus,Arachnostega,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Teichichnus,Margaritichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachnostega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Archaeonassa,,,,10.666666666666666,46.0,0.0,44.833333333333336,,,,,26.4,53.375,,63.5,,,,,77.5,34.2,40.5,2.1666666666666665,,,29.833333333333332,,,,,14.571428571428571,,,,,,26.6,92.0,15.75,,,,26.666666666666668,,,,,41.333333333333336,,,4.666666666666667,,,100.0,,,,14.0,,,7.142857142857143,,,,,13.4,,,,10.0,56.25,,,,8.8,,
Arenicolites,,,,,185.5,77.5,27.0,,,,,,28.5,,,,,,,0.0,,0.8709677419354839,192.5,,,0.7619047619047619,,,,,30.75,,,,,,36.5,,,,,7.5,19.0,,,,,74.0,,,153.5,,,177.5,,,,,,,,,,,,,,,,13.5,,,,18.0,7.0,,
Arenituba,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Arthrophycus,,,,50.0,62.0,14.0,,,,,,,73.0,,,,,,,,,,,,,,45.0,,,,67.0,,,,,,161.0,39.0,,,,,33.0,,,,,55.0,,,14.0,,,,,,,0.0,,,36.0,,,,,,,,,13.0,,,,,,,
Artichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astacimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterosoma,,,,,8.0,100.0,147.5,,,,,,,,,,,,,177.5,,140.5,15.0,,,168.5,,,,,54.5,,,,,,,,,,,,158.5,,,,,66.5,,,24.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Asthenopodichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astropolichnus,,,,,,,,,,,,,,,22.0,,0.0,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atollites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attaichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augerinoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avetoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanoglossites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
