,Isopodichnus,Siphonichnus,Pentichnus,Rhizocorallium,Camborygma,Phycodes,Archaeonassa,Rosselia,Pramollichnus,Laevicyclus,Lophoctenium,Glockerichnus,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Spirophyton,Megagrapton,Ptychoplasma,Protopaleodictyon,Arenicolites,Helminthopsis,Pennatulites,Dactyloidites,Skolithos,Treptichnus,Vagorichnus,Diplocraterion,Dictyodora,Hartsellea,Parataenidium,Cylindrichnus,Phycosiphon,Paleomeandron,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Multina,Scalarituba,Protovirgularia,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Echinospira,Hormosiroidea,Conostichus,Asterosoma,Arthrophycus,Entradichnus,Thalassinoides,Hillichnus,Phymatoderma,Diplichnites,Biformites,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Circulichnis,Teichichnus,Ancorichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,,,6.5,,228.0,,,,,,,,,,,152.0,,,,,31.333333333333332,,,,,,52.0,93.0,,,33.5,19.5,,36.333333333333336,,,39.5,,,,,,,19.0,13.5,,,,,,,,175.0,,,,,,,,,,,,,,,,0.0,,,,,
Arachnostega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeonassa,,,,,,,0.0,,47.0,,,,,,,,,,,18.0,,,,,40.5,,,,,,39.0,43.0,,,13.5,13.0,,32.0,,,33.0,,192.0,,,,,76.5,7.0,75.0,,,,,,,41.0,,,,,421.0,,,,24.0,,,,,,,6.5,,,,,
Arenicolites,,,,168.0,,206.0,,131.0,,,,,,,,,,,,,0.0,,,,6.8,17.0,,7.0,,,,,,,3.0,89.0,,32.5,114.0,35.0,,,,7.0,,40.0,,,,,184.0,,,,,27.0,12.0,,,,,,52.0,,,,59.0,,,147.0,,76.0,,,,53.0,,
Arenituba,,,,,,,,,,,,,,,,,,,,,,11.333333333333334,,,,,,,,,,,41.666666666666664,,,,,35.333333333333336,,10.333333333333334,,,,,,,,38.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Arthrophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,14.0,,,,,,,,,,,,,144.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
Artichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astacimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterosoma,,51.0,214.0,55.5,,,41.0,143.0,53.0,,,,,,,,,,,23.0,12.0,15.0,,,35.5,,,51.0,,,,127.0,49.0,,2.0,101.0,,19.25,126.0,2.4,,170.0,,4.5,,52.0,,18.0,158.0,14.0,,,,,,39.0,0.0,,,,,,,,,,71.0,,,299.0,,6.75,175.0,,,,,
Asthenopodichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astropolichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atollites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attaichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augerinoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avetoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanoglossites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconites,,,,,,,7.0,,211.0,,,,36.0,,,,,,,135.0,,,,,33.5,,,,,,25.0,31.0,,,20.0,6.0,,27.333333333333332,,,52.0,,13.0,,,,,36.0,0.0,,,,12.0,,,,158.0,,,,,,,24.0,,,,,,,,,13.5,,,,,
Belorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergaueria,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,0.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,
Bichordites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biformites,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,12.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,
Bifungites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bornichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooksella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calceoformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camborygma,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrites,,83.0,190.0,4.333333333333333,,5.0,,14.5,,,45.0,50.0,,,77.0,23.0,,19.5,,196.0,35.0,3.4,,,20.0,,,9.333333333333334,,,,,12.2,,1.3333333333333333,13.0,24.666666666666668,3.3636363636363638,6.0,0.0,,146.0,,,13.5,12.4,,12.0,,1.2,,146.0,,,,75.0,2.4,,,115.5,,4.0,,,,,47.0,,61.0,16.25,,2.5,,,10.333333333333334,4.25,,
Circulichnis,,,,,,,,,,,,,,77.0,,,,,,,,79.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,0.0,,,,,168.0,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlichnus,,,,56.0,,,,,,,13.0,15.0,,245.0,,58.0,,28.0,,,53.0,89.0,,,23.0,199.0,,39.0,,,,,51.0,,4.0,,,47.0,,4.25,,,,,,,,38.0,,,,,,,,,,,,68.0,,,289.0,,,,,,,41.0,168.0,,,,,0.0,,
Compaginatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,0.0,
Conostichus,,,,,,,,104.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,26.0,62.0,,38.0,87.0,75.0,,,,,,13.0,,,,,,,,,,0.0,39.0,,,,,,,,,,,,,,,49.0,,,,,7.0,
Coprinisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornulatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmorhaphe,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,24.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,
Cruziana,,,85.0,5.2,,39.0,,,,,,,,5.333333333333333,,,,,,,147.0,,47.0,,1.0,,,248.0,,,,,,10.0,13.8,,,6.5,,16.25,,129.0,21.0,,,,61.0,2.6,,28.0,331.0,,,,,,299.0,,,,,146.0,6.545454545454546,,,,228.0,,,0.0,,74.0,,,,41.0,,
Ctenopholeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curvolithus,,,,,,,13.0,42.0,128.0,,,,,,,,,,,,89.0,,,,27.5,,,,21.0,,6.5,83.5,,,9.333333333333334,0.0,,14.0,25.0,13.0,10.0,,174.0,,,49.0,,68.0,6.0,,,,,,,62.0,101.0,,,,,403.0,,,,,,,,,,13.0,19.5,,,,,
Cylindrichnus,,,,,,,43.0,,90.0,,,,,,,,,,,104.0,,,,,5.0,,,,,,,0.0,,,9.5,83.5,,34.666666666666664,,,19.0,,153.0,,,,,33.5,31.0,,,,,,,,127.0,,,,,382.0,,,,,,,,,,,93.0,,,,,
Cylindricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyloidites,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrotichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmograpton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyodora,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,0.0,,28.0,,,,,21.0,,22.0,,,57.0,,,,,,,2.0,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,
Didymaulichnus,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
Didymaulyponomos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplichnites,,,,,,,,,,,,,,5.1,,,,,,,52.0,65.0,,,,63.0,,,,,,,,,3.473684210526316,,,,,,,,5.052631578947368,,,,,,,,,,,,,,,,,,,,0.0,,,,111.0,1.3076923076923077,,6.545454545454546,121.0,,,,,289.0,,
