,Steinichnus,Siphonichnus,Pilichnus,Gyrochorte,Rhizocorallium,Halimedides,Camborygma,Rebuffoichnus,Fontanai,Phycodes,Rutichnus,Fictovichnus,Skolichnus,Rosselia,Bichordites,Laevicyclus,Strobilorhaphe,Lophoctenium,Spongeliomorpha,Jamesonichnites,Socialites,Cosmorhaphe,Spirorhaphe,Loloichnus,Heimdallia,Scolicia,Spirophyton,Megagrapton,Cardioichnus,Trichichnus,Termitichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Desmograpton,Spirophycus,Asthenopodichnium,Helicodromites,Macanopsis,Torrowangea,Naktodemasis,Haentzschelinia,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Belorhaphe,Cylindrichnus,Phycosiphon,Sagittichnus,Attaichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Neonereites,Chondrites,Bathichnus,Pholeus,Gyrophyllites,Parowanichnus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Ellipsoideichnus,Multina,Teisseirei,Spirographites,Protovirgularia,Alcyonidiopsis,Zavitokichnus,Nereites,Monesichnus,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Bergaueria,Paradictyodora,Hormosiroidea,Asterosoma,Mixoteichichnus,Macaronichnus,Arthrophycus,Patagonichnus,Lapispira,Entradichnus,Thalassinoides,Psilonichnus,Ereipichnus,Hillichnus,Phymatoderma,Atollites,Diplichnites,Cylindricum,Helminthorhaphe,Daedalus,Cladichnus,Arachnostega,Polykampton,Spirodesmos,Lockeia,Scoyenia,Cruziana,Circulichnis,Ilmenichnus,Sinusichnus,Teichichnus,Lingulichnus,Urohelminthoida,Cochlichnus,Conichnus,Polykladichnus
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,,,,,,,,,,288.0,325.0,,,,,176.0,347.0,189.0,,,,93.0,,,,336.0,,217.0,67.0,,,,,,144.0,,,,106.0,,,,,,,,,16.5,,,43.0,,298.0,,,9.75,,135.0,11.625,,14.5,,,120.0,,249.0,363.0,,,,230.0,,,,0.0,,239.0,,,262.0,,311.0,55.0,,,,,,16.0,,,,5.25,,,,,,,,159.0,,,,,,,,,,,,374.0,,417.0,,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachnostega,,,,,123.0,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,,,,,,18.0,,,,,,,,,,,140.0,,,,,,,,,208.0,,,,,,,,,,103.0,,,,,,,,,,,0.0,,,159.0,,,,,,,,,196.0,183.0,
Archaeonassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenicolites,,,,61.0,30.5,,,,,7.2,,,,2.8,,,,,38.0,,,,,16.0,,23.5,,,,,,,,0.0,15.4,,13.666666666666666,0.5789473684210527,,,,18.666666666666668,,,,,,12.2,,,,2.6,29.25,,,0.9,,,108.5,,3.4545454545454546,,,,,10.6,14.857142857142858,24.0,19.0,,,,,,,,13.0,,,1.1666666666666667,14.5,190.0,13.0,,,2.3333333333333335,,,,,,,11.588235294117647,16.333333333333332,,,,,,,,,,,,,16.333333333333332,12.0,,,,,13.153846153846153,,,,50.0,
Arenituba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrophycus,,,,,,,,,,272.0,309.0,,,,,160.0,331.0,173.0,,,,77.0,,,,25.0,,201.0,51.0,,,,,,128.0,,,,90.0,,,,,,,,,,,,27.0,,12.666666666666666,,,5.333333333333333,,119.0,387.0,,18.0,,,104.0,,14.333333333333334,347.0,,,,214.0,,,,16.0,,223.0,,,246.0,,295.0,39.0,,,,,,0.0,,,,7.666666666666667,,,,,,,,32.333333333333336,,,,,,,,,,,,358.0,,401.0,,,
Artichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astacimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
