,Siphonichnus,Rhizocorallium,Halimedides,Rebuffoichnus,Saronichnus,Phycodes,Fictovichnus,Katbergia,Rosselia,Bichordites,Lorenzinia,Laevicyclus,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Cardioichnus,Trichichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Desmograpton,Spirophycus,Treptichnus,Lanicoidichna,Piscichnus,Helicodromites,Macanopsis,Kulindrichnus,Daimonelix,Naktodemasis,Haentzschelinia,Vagorichnus,Castrichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Polychoredrites,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Bathichnus,Gyrophyllites,Parowanichnus,Ophiomorpha,Taenidium,Gyrolithes,Daimoniobarax,Kladosystemites,Multina,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Paradictyodora,Phoebichnus,Asterosoma,Macaronichnus,Patagonichnus,Katarrhedrites,Thalassinoides,Psilonichnus,Phymatoderma,Helminthorhaphe,Arachnostega,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Sinusichnus,Teichichnus,Scalichnus,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,181.0,,,,,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,66.0,,51.0,109.0,,,122.0,,239.0,,28.0,,,,82.0,,,,,,,,,0.0,,,95.0,150.0,,,,16.0,,,,219.0,,,,,,,,,,,,206.0,,,40.0,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachnostega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Archaeonassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenicolites,,46.0,,,,,,158.0,4.25,21.2,82.6,28.833333333333332,,,,,22.3,,,,,0.0,29.2,,,1.9090909090909092,70.8,,,198.0,45.666666666666664,,,,,,,,,50.0,,13.0,16.333333333333332,,,3.4166666666666665,,,,4.333333333333333,,,,3.6,24.0,4.666666666666667,,,,,,,,85.2,18.0,1.2727272727272727,,89.8,,,,,,,11.833333333333334,39.0,,76.6,,,77.0,222.0,,41.0,,,4.0,,,58.0,,65.83333333333333
Arenituba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
