,Isopodichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Camborygma,Phycodes,Archaeonassa,Catenichnus,Rosselia,Glockerichnus,Cosmorhaphe,Rusophycus,Furculosus,Spirorhaphe,Scolicia,Syringomorpha,Spirophyton,Ptychoplasma,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Spirophycus,Treptichnus,Helicodromites,Bifungites,Volkichnium,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Climactichnites,Phycosiphon,Furnasichnus,Planolites,Curvolithus,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Conostichus,Asterosoma,Macaronichnus,Arthrophycus,Thalassinoides,Diplichnites,Cylindricum,Daedalus,Arachnostega,Spirodesmos,Oikobesalon,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Compaginatichnus,Lingulichnus,Arenituba,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,5.5,,,,,,,,,,,,0.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,21.5,8.0,,,,,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachnostega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Archaeonassa,,,,64.0,,138.0,0.0,14.0,,,,80.0,,,,,,,,,6.25,,,,,,,,,,,,,,,,148.0,,,,10.75,175.0,92.0,,,,80.0,,,,,,,124.0,,14.0,,,,,14.0,,16.666666666666668,,,,,,50.0,103.0,,,13.333333333333334,,,,,89.0,,27.0,,,
Arenicolites,,149.0,,,,29.2,6.25,,228.0,,,24.0,,,277.0,,,,,,0.0,134.0,2.076923076923077,,,,110.5,,,2.6666666666666665,,,22.0,,,48.5,17.333333333333332,31.5,,,2.0,22.0,,,,1.5,,,,,,,,7.0,,28.0,,86.0,9.333333333333334,170.0,2.3333333333333335,,16.5,,,,,,8.333333333333334,17.5,,,9.9,,47.0,72.33333333333333,,,6.0,157.0,52.0,,
Arenituba,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,0.0,139.0,,,
Arthrophycus,,135.0,,50.0,,24.8,14.0,,214.0,,,20.857142857142858,,,263.0,,,,,,2.3333333333333335,120.0,27.666666666666668,,,,138.0,,,16.5,,,40.333333333333336,,,76.0,1.5555555555555556,,,,96.0,161.0,39.0,,17.375,20.0,33.0,,,,,,,8.461538461538462,,4.666666666666667,,,4.666666666666667,156.0,0.0,,7.2,,36.0,,,,5.357142857142857,13.0,,,2.1666666666666665,,,246.0,,,,,38.0,,
Artichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astacimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterosoma,,,,,,39.333333333333336,,,,,,46.666666666666664,,,,,,,,,9.333333333333334,,50.666666666666664,,,,,,,17.333333333333332,,,,,,,42.666666666666664,,,,,,,,,28.666666666666668,,,,,,,,,,,,,0.0,,4.666666666666667,,12.666666666666666,,,,,,7.333333333333333,25.666666666666668,,,4.0,,,,,,,,,,
