,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Fontanai,Phycodes,Archaeonassa,Katbergia,Catenichnus,Rosselia,Lorenzinia,Laevicyclus,Lophoctenium,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Loloichnus,Scolicia,Megagrapton,Ptychoplasma,Trichichnus,Termitichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Dactyloidites,Skolithos,Treptichnus,Helicodromites,Macanopsis,Unisulcus,Bifungites,Vagorichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Planolites,Curvolithus,Halopoa,Zoophycos,Ctenopholeus,Neonereites,Chondrites,Trichophycus,Pholeus,Psammichnites,Parowanichnus,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Ellipsoideichnus,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Monesichnus,Palaeophycus,Paleodictyon,Bergaueria,Asterosoma,Mixoteichichnus,Macaronichnus,Entradichnus,Thalassinoides,Diplichnites,Cylindricum,Biformites,Fuersichnus,Arachnostega,Tisoa,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Circulichnis,Teichichnus,Ancorichnus,Compaginatichnus,Lingulichnus,Cochlichnus,Conichnus,Oldhamia
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,5.5,,,,,,,,,,,,,,,,0.0,,,30.0,,,,,,,,,,,,,,,,,,,,21.5,,8.0,,,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,34.5,,22.5,,,14.0,,,,,,,,,,,,,,6.5,,,,,,,,21.0,,,,,,,12.5,,,,,,,,,,,,,,0.0,,,,,
Arachnostega,,,,,30.75,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,4.5,,,,,,,,,,35.0,,,,,,52.0,,,,,25.75,,,,,0.0,,,39.75,,,,,,,,,49.0,45.75,
Archaeonassa,,,,,,,,,0.0,,,,,,,,,41.0,,,,,,,,,,,108.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,77.0,,,,,,93.0,,,54.0,,,,,,,170.0,,
Arenicolites,,20.5,26.142857142857142,,20.333333333333332,,,6.9,,,,6.5,,6.428571428571429,,22.6,85.0,,,,94.0,,,26.0,,,,0.0,34.0,41.0,0.7727272727272727,19.5,56.0,,,3.5,,2.25,,3.25,,,3.4166666666666665,,,,,,2.0,,,,,43.5,26.0,12.0,,,,,,,13.0,,3.4375,190.0,,,,,,3.7,,,,2.8,,,72.0,6.9375,,1.75,,48.0,28.75,,,8.0,98.0,,
Arenituba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astacimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
